type,topic,name,author,title,venue,publisher,paper,img,website,arxiv,poster,video
journal,misc,social-network bots,"Ashkan Dehghan, Kinga Siuta, Agata Skorupka, Akshat Dubey, Andrei Betlen, David Miller, Wei Xu, Bogumił Kamiński, Paweł Prałat",Detecting bots in social-networks using node and structural embeddings,,"Journal of Big Data 10 (1), 119",https://link.springer.com/article/10.1186/s40537-023-00796-3,"https://digi.uga.edu/wp-content/uploads/sites/9/2018/11/network-Graphs-300x274.png",,,,
journal,misc,supervised contrastive learning,"Kshitiza Vasudeva, Akshat Dubey, Saravanan Chandran
",SCL-FExR: supervised contrastive learning approach for facial expression Recognition,,"Multimedia Tools and Applications, 1-21",https://www.researchgate.net/profile/Akshat-Dubey-7/publication/368831652_Supervised_Contrastive_Learning_Approach_for_Facial_Expression_Recognition/links/64c223d869f07e6253898ec5/Supervised-Contrastive-Learning-Approach-for-Facial-Expression-Recognition.pdf,"https://roc.ai/wp-content/uploads/2018/11/howfrworks-1080x675.png",,,,
